SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
EICHERMOT,"7,500.00","57","7,495.00","7,500.00","27","-","-","-5.00","-0.07","7,495.00","651","0.49","1,03,012.81","-","-","8,230.00","6,442.00"
ADANIPOWER,"202.34","303","202.30","202.34","6,536","-","-","-","-","202.34","23,899","0.48","83,723.88","-","-","254.20","125.20"
HINDALCO,"972.70","30","971.00","972.00","474","-","-","-0.70","-0.07","972.00","4,690","0.46","1,40,342.20","-","-","1,176.00","731.95"
WAAREEENER,"2,501.00","1","2,498.20","2,499.00","289","-","-","-2.00","-0.08","2,499.00","1,801","0.45","23,853.94","-","-","3,718.80","2,403.00"
DIVISLAB,"9,158.00","10","9,155.00","9,158.00","43","-","-","-","-","9,158.00","487","0.45","1,16,062.18","-","-","9,615.00","5,636.50"
GVT&D,"4,267.00","195","4,300.00","4,304.00","1","-","-","33.00","0.77","4,300.00","1,010","0.43","53,134.04","-","-","5,650.00","2,523.20"
CGPOWER,"851.55","110","858.00","859.00","588","-","-","7.45","0.87","859.00","4,755","0.41","58,753.62","-","-","980.90","525.50"
CDSL,"1,299.00","7","1,297.80","1,299.00","574","-","-","-","-","1,299.00","3,081","0.40","23,075.57","-","-","1,673.70","1,116.30"
RVNL,"197.50","3,279","196.50","196.52","498","-","-","-1.00","-0.51","196.50","19,604","0.39","11,123.28","-","-","400.70","195.15"
IOC,"134.75","914","134.90","134.95","201","-","-","0.15","0.11","134.90","28,207","0.38","50,261.67","-","-","188.96","130.22"
ULTRACEMCO,"10,700.00","125","10,735.00","10,740.00","32","-","-","40.00","0.37","10,740.00","347","0.37","1,26,738.17","-","-","13,110.00","10,325.00"
BDL,"1,136.00","523","1,130.00","1,130.40","130","-","-","-6.00","-0.53","1,130.00","3,247","0.37","10,385.63","-","-","1,654.00","1,086.00"
OFSS,"11,510.00","2","11,495.00","11,500.00","1,180","-","-","-10.00","-0.09","11,500.00","318","0.37","27,352.97","-","-","12,540.00","6,234.50"
IRFC,"78.95","10,270","79.30","79.39","50","-","-","0.35","0.44","79.30","45,090","0.36","15,906.46","-","-","137.17","78.16"
PNB,"116.80","6","116.79","116.80","1,648","-","-","-","-","116.80","29,480","0.34","40,113.81","-","-","135.15","98.50"
HDFCLIFE,"530.20","25","532.85","532.90","1,057","-","-","2.70","0.51","532.90","6,376","0.34","57,554.27","-","-","796.90","508.70"
BPCL,"303.35","217","304.55","304.65","5","-","-","1.20","0.40","304.55","10,803","0.33","61,550.27","-","-","391.65","266.60"
HINDPETRO,"350.05","10","352.10","352.25","8","-","-","2.20","0.63","352.25","9,248","0.33","33,731.94","-","-","508.45","316.20"
BANDHANBNK,"172.50","4,085","172.00","172.05","1","-","-","-0.50","-0.29","172.00","18,855","0.32","15,648.83","-","-","220.76","134.25"
SUNPHARMA,"1,853.50","27","1,853.40","1,853.50","117","-","-","-","-","1,853.50","1,670","0.31","1,95,714.05","-","-","2,046.90","1,548.00"
VMM,"100.97","4,161","101.51","101.70","1,250","-","-","0.54","0.53","101.51","29,257","0.30","28,265.03","-","-","153.40","98.77"
LTM,"4,233.00","36","4,230.00","4,233.00","76","-","-","-","-","4,233.00","691","0.29","39,203.54","-","-","6,429.50","3,528.00"
