SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
OFSS,"11,803.00","45","11,842.00","11,849.00","51","-","-","37.00","0.31","11,840.00","416","0.49","28,161.66","-","-","12,540.00","6,234.50"
NESTLEIND,"1,362.00","103","1,369.40","1,369.50","1","-","-","7.20","0.53","1,369.20","3,526","0.48","97,898.55","-","-","1,553.00","1,145.00"
SWIGGY,"275.00","5","274.05","274.40","2","-","-","-0.60","-0.22","274.40","17,586","0.48","38,836.39","-","-","474.00","235.75"
PATANJALI,"338.55","254","339.05","339.70","5","-","-","0.50","0.15","339.05","14,083","0.48","11,712.54","-","-","614.90","328.20"
COCHINSHIP,"1,325.00","156","1,328.00","1,328.40","15","-","-","2.80","0.21","1,327.80","3,566","0.47","11,207.44","-","-","1,979.90","1,187.00"
NTPC,"329.50","10","329.10","329.50","1,782","-","-","-","-","329.50","14,031","0.46","1,55,773.78","-","-","414.40","315.55"
PNB,"114.70","12,307","114.73","114.74","6","-","-","0.03","0.03","114.73","39,186","0.45","39,402.89","-","-","135.15","98.50"
GODFRYPHLP,"1,915.00","55","1,920.00","1,924.00","155","-","-","9.00","0.47","1,924.00","2,302","0.44","7,835.66","-","-","3,947.00","1,832.10"
BPCL,"298.65","50","300.90","301.00","1,834","-","-","2.35","0.79","301.00","14,620","0.44","60,832.80","-","-","391.65","266.60"
BAJAJ-AUTO,"11,424.00","11","11,425.00","11,437.00","73","-","-","1.00","0.01","11,425.00","377","0.43","1,24,062.32","-","-","12,470.00","8,491.50"
CDSL,"1,311.00","1,225","1,311.00","1,312.00","30","-","-","-","-","1,311.00","3,225","0.42","23,288.74","-","-","1,673.70","1,116.30"
NBCC,"80.69","500","81.17","81.20","9,363","-","-","0.51","0.63","81.20","51,463","0.42","8,384.13","-","-","125.85","77.18"
TECHM,"1,575.90","1,387","1,578.20","1,579.00","25","-","-","2.30","0.15","1,578.20","2,646","0.42","99,956.95","-","-","1,854.00","1,304.10"
APOLLOHOSP,"8,714.00","1","8,754.00","8,756.00","14","-","-","42.00","0.48","8,756.00","475","0.42","89,856.06","-","-","9,050.00","6,696.50"
EICHERMOT,"7,452.50","65","7,430.00","7,450.00","1","-","-","-22.50","-0.30","7,430.00","552","0.41","1,02,119.43","-","-","8,230.00","6,442.00"
LTF,"296.80","939","296.90","297.00","16","-","-","0.10","0.03","296.90","13,799","0.41","25,267.66","-","-","338.60","233.80"
COALINDIA,"419.25","910","419.00","419.25","292","-","-","-","-","419.25","9,482","0.40","1,00,142.29","-","-","491.25","369.60"
HINDUNILVR,"1,938.10","23","1,944.00","1,944.10","20","-","-","6.00","0.31","1,944.10","2,042","0.40","1,71,995.18","-","-","2,667.20","1,926.20"
WAAREEENER,"2,555.00","4","2,547.00","2,550.00","32","-","-","-8.00","-0.31","2,547.00","1,543","0.39","24,312.12","-","-","3,728.00","2,403.00"
DIVISLAB,"9,198.00","2","9,165.00","9,167.00","151","-","-","-30.00","-0.33","9,168.00","425","0.39","1,16,188.91","-","-","9,615.00","5,636.50"
MANAPPURAM,"318.85","3","320.40","321.25","561","-","-","2.40","0.75","321.25","11,924","0.38","17,582.63","-","-","381.55","245.15"
NATIONALUM,"350.55","721","352.00","352.20","3","-","-","1.45","0.41","352.00","10,570","0.37","31,477.23","-","-","445.15","198.68"
TRENT,"2,730.00","10","2,735.00","2,735.40","96","-","-","5.40","0.20","2,735.40","1,352","0.37","90,764.09","-","-","3,498.67","2,183.67"
PNBHOUSING,"1,145.00","3,142","1,143.40","1,145.00","85","-","-","-1.60","-0.14","1,143.40","3,228","0.37","21,451.01","-","-","1,211.50","729.60"
GRASIM,"3,171.00","5","3,186.80","3,190.00","25,689","-","-","19.00","0.60","3,190.00","1,156","0.37","1,20,027.30","-","-","3,411.10","2,502.50"
HDFCAMC,"2,409.00","197","2,383.10","2,384.70","7","-","-","-25.90","-1.08","2,383.10","1,521","0.36","48,469.15","-","-","2,967.25","2,205.60"
UNIONBANK,"175.00","600","176.50","176.54","1,720","-","-","1.54","0.88","176.54","20,528","0.36","34,017.32","-","-","205.49","132.50"
ULTRACEMCO,"10,697.00","100","10,760.00","10,777.00","36","-","-","80.00","0.75","10,777.00","334","0.36","1,27,174.79","-","-","13,110.00","10,325.00"
RVNL,"199.00","7,966","199.05","199.50","1","-","-","0.05","0.03","199.05","17,726","0.35","11,267.63","-","-","400.70","198.29"
TVSMOTOR,"4,050.00","61","4,033.00","4,041.00","12","-","-","-17.00","-0.42","4,033.00","874","0.35","94,473.89","-","-","4,484.50","3,228.00"
LICI,"391.50","8,304","392.00","392.05","1","-","-","0.50","0.13","392.00","8,961","0.35","49,590.96","-","-","468.48","360.75"
MAXHEALTH,"1,030.00","2","1,035.10","1,036.40","210","-","-","6.40","0.62","1,036.40","3,365","0.35","76,922.18","-","-","1,221.90","903.00"
DABUR,"384.90","6","386.80","386.85","1,395","-","-","1.95","0.51","386.85","8,973","0.35","22,779.15","-","-","542.80","368.05"
INDIGO,"4,776.00","1","4,799.00","4,799.50","62","-","-","23.50","0.49","4,799.50","720","0.35","1,08,337.71","-","-","5,970.00","3,895.20"
NMDC,"80.50","1,784","80.80","80.90","100","-","-","0.30","0.37","80.80","42,573","0.34","27,849.27","-","-","97.49","72.24"
JSWSTEEL,"1,229.20","30","1,241.50","1,244.00","1,479","-","-","14.80","1.20","1,244.00","2,745","0.34","1,16,353.82","-","-","1,351.00","1,073.20"
SAIL,"173.00","2","173.60","173.79","12","-","-","0.79","0.46","173.79","19,265","0.33","25,054.26","-","-","209.70","124.00"
FORCEMOT,"17,245.00","43","17,300.00","17,345.00","20","-","-","55.00","0.32","17,300.00","184","0.32","8,309.79","-","-","26,450.00","14,911.00"
POWERGRID,"262.80","1,285","264.10","264.20","133","-","-","1.30","0.49","264.10","11,945","0.32","1,19,264.64","-","-","324.95","250.00"
BHARATFORG,"1,877.20","58","1,879.00","1,880.10","30","-","-","1.80","0.10","1,879.00","1,627","0.31","49,943.74","-","-","2,295.00","1,179.00"
ASIANPAINT,"2,402.80","124","2,405.10","2,408.00","50","-","-","2.30","0.10","2,405.10","1,270","0.31","1,08,460.88","-","-","2,985.70","2,115.00"
BANKBARODA,"232.70","2,697","233.25","233.40","50","-","-","0.55","0.24","233.25","12,866","0.30","43,152.41","-","-","325.50","232.44"
OIL,"485.60","200","485.30","485.50","219","-","-","-0.10","-0.02","485.50","6,177","0.30","26,405.25","-","-","531.00","393.00"
BIOCON,"382.00","50","380.80","381.00","3,215","-","-","-1.00","-0.26","381.00","7,617","0.29","27,253.44","-","-","447.15","337.05"
AMBER,"7,000.00","50","6,969.50","6,983.00","1","-","-","-14.50","-0.21","6,985.50","413","0.29","15,222.60","-","-","8,974.00","5,400.50"
ASHOKLEY,"156.65","553","157.40","157.50","120","-","-","0.75","0.48","157.40","18,192","0.29","44,911.89","-","-","215.42","133.19"
ABB,"7,005.00","61","7,005.00","7,020.00","1","-","-","-","-","7,005.00","395","0.28","36,658.00","-","-","7,924.50","4,637.50"
MAHABANK,"79.56","1,131","80.10","80.40","1,000","-","-","0.54","0.68","80.10","33,171","0.27","16,264.19","-","-","94.50","53.85"
ADANIGREEN,"1,255.00","20","1,252.50","1,253.90","372","-","-","-1.10","-0.09","1,253.90","2,113","0.26","41,920.69","-","-","1,631.50","765.00"
INDUSINDBK,"956.50","54","957.90","958.00","1","-","-","1.20","0.13","957.70","2,724","0.26","62,902.77","-","-","1,077.85","710.60"
CHOLAFIN,"1,791.60","253","1,792.00","1,800.70","14","-","-","9.10","0.51","1,800.70","1,403","0.25","77,824.19","-","-","1,952.50","1,299.40"
VBL,"409.60","25","408.80","408.90","623","-","-","-0.70","-0.17","408.90","5,923","0.24","55,754.70","-","-","555.80","381.00"
POLYCAB,"8,143.50","1","8,125.00","8,129.00","26","-","-","-14.00","-0.17","8,129.50","281","0.23","43,365.45","-","-","10,126.00","6,663.00"
JINDALSTEL,"1,095.00","54","1,088.00","1,089.50","5","-","-","-7.00","-0.64","1,088.00","2,085","0.23","40,190.10","-","-","1,306.20","977.10"
HINDPETRO,"345.30","2,675","347.00","347.50","15","-","-","1.70","0.49","347.00","6,520","0.23","33,229.20","-","-","508.45","316.20"
TATAPOWER,"363.00","547","363.00","363.05","1","-","-","-","-","363.00","6,229","0.23","60,376.47","-","-","464.90","342.50"
GMRAIRPORT,"92.97","38","93.15","93.50","1,775","-","-","0.18","0.19","93.15","23,819","0.22","33,061.28","-","-","115.64","84.11"
IRFC,"79.15","3,522","79.41","79.50","200","-","-","0.26","0.33","79.41","27,458","0.22","15,928.53","-","-","137.17","79.00"
ADANIENSOL,"1,347.50","180","1,347.50","1,347.60","346","-","-","0.10","0.01","1,347.60","1,598","0.22","44,929.07","-","-","1,789.00","803.10"
CUMMINSIND,"4,874.00","35","4,860.00","4,863.00","152","-","-","-10.50","-0.22","4,863.50","435","0.21","65,513.54","-","-","6,100.00","3,833.00"
RECLTD,"308.50","2,084","308.70","309.00","540","-","-","0.20","0.06","308.70","6,652","0.21","38,450.83","-","-","390.50","304.05"
MARICO,"791.25","1","795.20","795.50","1,476","-","-","4.25","0.54","795.50","2,548","0.20","42,048.74","-","-","889.10","690.30"
BAJAJFINSV,"1,855.50","1","1,860.00","1,864.00","793","-","-","8.50","0.46","1,864.00","1,086","0.20","1,07,710.78","-","-","2,195.00","1,597.00"
IDFCFIRSTB,"84.80","1,151","84.60","84.61","3","-","-","-0.19","-0.22","84.61","23,452","0.20","56,035.08","-","-","88.76","58.08"
AUROPHARMA,"1,660.00","2","1,656.60","1,657.00","411","-","-","-2.90","-0.17","1,657.10","1,182","0.20","45,739.89","-","-","1,717.00","1,066.80"
SAGILITY,"45.60","12,700","45.91","45.93","10,796","-","-","0.33","0.72","45.93","42,323","0.19","10,546.45","-","-","57.89","35.83"
DRREDDY,"1,145.00","1","1,141.70","1,142.00","121","-","-","-3.00","-0.26","1,142.00","1,687","0.19","69,420.36","-","-","1,414.90","1,101.00"
COLPAL,"1,820.30","12","1,830.00","1,833.90","76","-","-","13.60","0.75","1,833.90","1,013","0.19","24,089.98","-","-","2,379.20","1,782.00"
BRITANNIA,"4,947.50","1","4,947.00","4,947.50","60","-","-","-","-","4,947.50","370","0.18","58,115.79","-","-","6,271.00","4,945.00"
IREDA,"109.00","6,931","109.00","109.25","4,540","-","-","-","-","109.00","16,748","0.18","8,647.72","-","-","163.35","108.27"
CAMS,"717.35","1","712.00","713.00","250","-","-","-4.35","-0.61","713.00","2,560","0.18","17,115.17","-","-","844.90","611.40"
LICHSGFIN,"542.00","10","541.55","541.70","241","-","-","-0.20","-0.04","541.80","3,287","0.18","16,244.04","-","-","598.20","458.90"
LTM,"4,346.60","3","4,349.00","4,350.00","32","-","-","2.40","0.06","4,349.00","390","0.17","40,277.86","-","-","6,429.50","3,528.00"
KPITTECH,"563.00","4,417","563.00","563.50","111","-","-","-","-","563.00","2,998","0.17","9,207.64","-","-","1,328.00","543.00"
AMBUJACEM,"381.75","1","381.95","382.00","962","-","-","0.25","0.07","382.00","4,415","0.17","23,749.56","-","-","600.80","380.10"
DMART,"3,680.00","10","3,675.10","3,679.00","786","-","-","-1.00","-0.03","3,679.00","458","0.17","59,120.70","-","-","4,818.00","3,529.00"
CIPLA,"1,351.00","12","1,350.00","1,351.00","80","-","-","-","-","1,351.00","1,204","0.16","75,807.19","-","-","1,673.00","1,165.70"
BOSCHLTD,"47,070.00","1","47,100.00","47,150.00","1","-","-","30.00","0.06","47,100.00","34","0.16","40,744.26","-","-","50,000.00","28,610.00"
HAVELLS,"1,087.00","4","1,092.40","1,093.00","135","-","-","6.00","0.55","1,093.00","1,447","0.16","27,468.62","-","-","1,621.10","1,081.10"
SBICARD,"618.60","327","619.75","621.90","125","-","-","1.15","0.19","619.75","2,544","0.16","18,327.67","-","-","965.00","565.45"
TATAELXSI,"3,440.00","3","3,430.00","3,434.00","61","-","-","-6.00","-0.17","3,434.00","438","0.15","11,791.13","-","-","5,950.00","3,353.90"
INDHOTEL,"715.00","500","716.00","716.25","33","-","-","1.25","0.17","716.25","2,039","0.15","62,720.77","-","-","792.55","565.00"
HYUNDAI,"2,140.00","11","2,135.10","2,140.00","29","-","-","-","-","2,140.00","682","0.15","30,428.27","-","-","2,890.00","1,658.00"
FORTIS,"880.10","100","880.00","880.10","92","-","-","-0.10","-0.01","880.00","1,633","0.14","45,730.24","-","-","1,104.30","766.80"
SONACOMS,"790.00","529","780.60","782.00","22","-","-","-9.40","-1.19","780.60","1,808","0.14","35,018.09","-","-","844.00","402.30"
GLENMARK,"2,371.70","25","2,371.70","2,371.80","1","-","-","-","-","2,371.70","593","0.14","35,613.49","-","-","2,537.60","1,792.60"
SBILIFE,"1,654.10","30","1,656.40","1,657.30","47","-","-","2.30","0.14","1,656.40","846","0.14","74,230.59","-","-","2,132.00","1,652.90"
MPHASIS,"2,378.00","3","2,379.00","2,379.20","3","-","-","1.00","0.04","2,379.00","563","0.13","31,405.30","-","-","3,037.20","2,013.00"
PIDILITIND,"1,521.10","104","1,521.20","1,528.00","10","-","-","0.10","0.01","1,521.20","844","0.13","47,010.31","-","-","1,707.50","1,259.00"
FEDERALBNK,"343.00","1,205","341.80","341.95","300","-","-","-1.20","-0.35","341.80","3,726","0.13","84,179.61","-","-","371.70","189.05"
NYKAA,"336.20","82","336.20","336.25","25","-","-","-","-","336.20","3,654","0.12","45,883.49","-","-","349.55","227.90"
PHOENIXLTD,"1,833.60","43","1,833.60","1,840.00","29","-","-","-","-","1,833.60","668","0.12","34,138.80","-","-","2,169.80","1,465.60"
GODREJPROP,"1,659.30","16","1,667.00","1,668.00","348","-","-","7.60","0.46","1,666.90","729","0.12","22,480.87","-","-","2,352.00","1,434.00"
INDUSTOWER,"379.00","415","381.00","381.90","160","-","-","2.00","0.53","381.00","3,164","0.12","48,953.43","-","-","481.50","337.80"
CROMPTON,"226.15","101","226.40","227.01","1,279","-","-","0.86","0.38","227.01","5,287","0.12","14,542.77","-","-","319.45","217.40"
BANKINDIA,"137.61","2,593","138.00","138.20","2,182","-","-","0.39","0.28","138.00","8,652","0.12","16,722.80","-","-","178.36","116.00"
VMM,"100.10","500","100.50","100.55","7,417","-","-","0.45","0.45","100.55","11,432","0.11","27,997.73","-","-","153.40","98.77"
MOTILALOFS,"990.80","93","982.40","984.00","182","-","-","-8.40","-0.85","982.40","1,156","0.11","15,328.69","-","-","1,097.10","614.90"
NAUKRI,"1,261.50","1","1,258.00","1,260.00","30","-","-","-3.00","-0.24","1,258.50","873","0.11","48,051.62","-","-","1,433.60","908.30"
RADICO,"4,360.00","38","4,338.70","4,340.00","25","-","-","-21.30","-0.49","4,338.70","235","0.10","33,906.04","-","-","4,747.00","2,500.00"
INDIANB,"836.75","92","840.00","841.00","5","-","-","3.25","0.39","840.00","1,205","0.10","29,602.01","-","-","1,000.90","691.50"
POLICYBZR,"1,736.00","20","1,737.00","1,739.90","122","-","-","3.90","0.22","1,739.90","565","0.10","60,039.29","-","-","1,964.20","1,364.00"
TATACONSUM,"986.10","1,308","990.00","991.30","35","-","-","3.90","0.40","990.00","961","0.10","64,293.63","-","-","1,282.70","986.00"
PIIND,"2,255.00","8","2,250.00","2,255.00","96","-","-","-","-","2,255.00","416","0.09","18,218.22","-","-","3,832.90","2,191.00"
GAIL,"170.88","14","170.80","170.88","139","-","-","-","-","170.88","5,311","0.09","45,964.22","-","-","186.87","134.36"
HDFCLIFE,"516.10","1","521.25","522.00","692","-","-","5.90","1.14","522.00","1,738","0.09","56,377.05","-","-","796.90","508.70"
DLF,"620.85","13","620.30","620.85","215","-","-","-","-","620.85","1,434","0.09","39,717.20","-","-","794.80","489.40"
NHPC,"76.04","4,481","76.00","76.01","238","-","-","-0.04","-0.05","76.00","11,367","0.09","28,565.14","-","-","89.22","71.62"
ASTRAL,"1,379.60","207","1,376.00","1,378.50","7","-","-","-3.60","-0.26","1,376.00","625","0.09","16,782.20","-","-","1,768.70","1,311.60"
PGEL,"518.00","128","515.25","515.40","25","-","-","-2.75","-0.53","515.25","1,634","0.08","8,335.39","-","-","644.40","436.55"
RBLBANK,"403.60","200","404.00","404.80","583","-","-","1.20","0.30","404.80","2,058","0.08","24,986.56","-","-","420.40","261.60"
DELHIVERY,"420.50","1","417.40","418.00","1,441","-","-","-2.45","-0.58","418.05","1,973","0.08","23,359.75","-","-","524.00","374.45"
ZYDUSLIFE,"1,099.00","6","1,093.70","1,093.80","8","-","-","-5.30","-0.48","1,093.70","742","0.08","27,049.73","-","-","1,205.00","835.50"
SIEMENS,"3,770.00","29","3,760.10","3,763.80","1","-","-","-6.00","-0.16","3,764.00","212","0.08","33,179.99","-","-","4,149.40","2,826.00"
BANDHANBNK,"172.45","63","173.24","173.30","780","-","-","0.79","0.46","173.24","4,493","0.08","15,761.65","-","-","220.76","134.25"
APLAPOLLO,"2,119.30","180","2,115.00","2,119.30","51","-","-","-4.30","-0.20","2,115.00","360","0.08","38,392.60","-","-","2,301.40","1,653.30"
UPL,"560.80","3,578","561.00","561.05","10","-","-","0.10","0.02","560.90","1,316","0.07","31,367.69","-","-","812.20","557.95"
KFINTECH,"884.80","50","885.60","887.40","780","-","-","2.60","0.29","887.40","827","0.07","11,834.18","-","-","1,215.00","784.95"
UNOMINDA,"1,159.70","48","1,164.00","1,165.00","5","-","-","4.30","0.37","1,164.00","616","0.07","21,112.91","-","-","1,382.00","994.00"
OBEROIRLTY,"1,668.50","186","1,660.00","1,660.20","2","-","-","-8.50","-0.51","1,660.00","417","0.07","19,484.58","-","-","1,986.10","1,391.20"
JSWENERGY,"505.00","51","506.20","506.60","37","-","-","1.60","0.32","506.60","1,295","0.07","30,965.00","-","-","617.35","427.75"
